part_size,part_size_formatted,chunk_size,chunk_size_formatted,run,seconds,gbps
67108864,64MB,65536,64KB,10,15.585304,2.755780
67108864,64MB,131072,128KB,1,4.635643,9.265094
67108864,64MB,131072,128KB,2,10.629578,4.040581
67108864,64MB,131072,128KB,3,22.856202,1.879126
67108864,64MB,131072,128KB,4,2.690683,15.962368
67108864,64MB,131072,128KB,5,2.961968,14.500381
67108864,64MB,131072,128KB,6,8.898744,4.826487
67108864,64MB,131072,128KB,7,1.992304,21.557789
67108864,64MB,131072,128KB,8,20.884641,2.056520
67108864,64MB,131072,128KB,9,1.872604,22.935807
67108864,64MB,131072,128KB,10,1.868979,22.980288
67108864,64MB,196608,192KB,1,4.391772,9.779578
67108864,64MB,196608,192KB,2,14.339538,2.995192
67108864,64MB,196608,192KB,3,3.167035,13.561479
67108864,64MB,196608,192KB,4,2.701183,15.900318
67108864,64MB,196608,192KB,5,3.223041,13.325824
67108864,64MB,196608,192KB,6,3.207157,13.391822
67108864,64MB,196608,192KB,7,3.038259,14.136277
67108864,64MB,196608,192KB,8,3.246001,13.231563
67108864,64MB,196608,192KB,9,2.772759,15.489869
67108864,64MB,196608,192KB,10,2.203130,19.494842
67108864,64MB,262144,256KB,1,5.804251,7.399693
67108864,64MB,262144,256KB,2,10.133242,4.238493
67108864,64MB,262144,256KB,3,17.607734,2.439250
67108864,64MB,262144,256KB,4,2.580255,16.645517
67108864,64MB,262144,256KB,5,2.013279,21.333196
67108864,64MB,262144,256KB,6,2.192322,19.590953
67108864,64MB,262144,256KB,7,2.332427,18.414157
67108864,64MB,262144,256KB,8,2.399627,17.898477
67108864,64MB,262144,256KB,9,1.830420,23.464376
67108864,64MB,262144,256KB,10,2.005386,21.417160
67108864,64MB,524288,512KB,1,2.828927,15.182319
67108864,64MB,524288,512KB,2,4.238219,10.133896
67108864,64MB,524288,512KB,3,7.386376,5.814715
67108864,64MB,524288,512KB,4,7.345130,5.847367
67108864,64MB,524288,512KB,5,1.811918,23.703987
67108864,64MB,524288,512KB,6,1.886202,22.770450
67108864,64MB,524288,512KB,7,2.017372,21.289917
67108864,64MB,524288,512KB,8,1.803447,23.815319
67108864,64MB,524288,512KB,9,1.802609,23.826400
67108864,64MB,524288,512KB,10,1.853986,23.166127
67108864,64MB,1048576,1MB,1,3.738158,11.489529
67108864,64MB,1048576,1MB,2,1.971417,21.786191
67108864,64MB,1048576,1MB,3,4.418308,9.720842
67108864,64MB,1048576,1MB,4,3.122691,13.754059
67108864,64MB,1048576,1MB,5,1.852953,23.179044
67108864,64MB,1048576,1MB,6,1.800031,23.860518
67108864,64MB,1048576,1MB,7,1.820922,23.586773
67108864,64MB,1048576,1MB,8,1.817308,23.633676
67108864,64MB,1048576,1MB,9,1.790524,23.987209
67108864,64MB,1048576,1MB,10,1.876880,22.883549
67108864,64MB,4194304,4MB,1,2.267872,18.938311
67108864,64MB,4194304,4MB,2,1.816871,23.639364
67108864,64MB,4194304,4MB,3,1.787040,24.033973
67108864,64MB,4194304,4MB,4,1.786255,24.044543
67108864,64MB,4194304,4MB,5,1.790979,23.981116
67108864,64MB,4194304,4MB,6,1.792313,23.963265
67108864,64MB,4194304,4MB,7,1.781516,24.108504
67108864,64MB,4194304,4MB,8,1.785819,24.050400
67108864,64MB,4194304,4MB,9,1.786648,24.039251
67108864,64MB,4194304,4MB,10,1.785384,24.056269
67108864,64MB,16777216,16MB,1,2.064269,20.806233
67108864,64MB,16777216,16MB,2,1.829474,23.476513
67108864,64MB,16777216,16MB,3,1.782583,24.094069
67108864,64MB,16777216,16MB,4,1.788238,24.017873
67108864,64MB,16777216,16MB,5,1.792951,23.954742
67108864,64MB,16777216,16MB,6,1.791899,23.968809
67108864,64MB,16777216,16MB,7,1.786320,24.043663
67108864,64MB,16777216,16MB,8,1.786913,24.035677
67108864,64MB,16777216,16MB,9,1.785524,24.054376
67108864,64MB,16777216,16MB,10,1.781615,24.107157
67108864,64MB,67108864,64MB,1,2.132455,20.140956
67108864,64MB,67108864,64MB,2,1.820632,23.590530
67108864,64MB,67108864,64MB,3,1.777259,24.166247
67108864,64MB,67108864,64MB,4,1.788650,24.012337
67108864,64MB,67108864,64MB,5,1.775875,24.185074
67108864,64MB,67108864,64MB,6,1.795337,23.922904
67108864,64MB,67108864,64MB,7,1.779329,24.138130
67108864,64MB,67108864,64MB,8,1.857134,23.126856
